id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,47,0,1,0,['y']
1,1,50,1,0,0,['n']
2,1,47,0,1,0,['y']
3,1,50,1,0,0,['n']
4,1,49,0,0,1,['n']
5,1,47,0,1,0,['y']
6,1,50,1,0,0,['n']
7,1,49,0,0,1,['n']
0,2,46,0,1,1,"['y', 'n']"
1,2,49,1,0,1,"['n', 'n']"
2,2,46,0,1,1,"['y', 'n']"
3,2,48,1,0,1,"['n', 'y']"
4,2,48,0,0,2,"['n', 'n']"
5,2,46,0,1,1,"['y', 'n']"
6,2,49,1,0,1,"['n', 'n']"
7,2,47,0,0,2,"['n', 'y']"
0,3,45,0,1,2,"['y', 'n', 'n']"
1,3,48,1,0,2,"['n', 'n', 'n']"
2,3,44,0,1,2,"['y', 'n', 'y']"
3,3,46,1,0,2,"['n', 'y', 'y']"
4,3,48,1,0,2,"['n', 'n', 'n']"
5,3,43,0,2,1,"['y', 'n', 'y']"
6,3,46,1,1,1,"['n', 'n', 'y']"
7,3,47,1,0,2,"['n', 'y', 'n']"
0,4,45,1,1,2,"['y', 'n', 'n', 'n']"
1,4,48,2,0,2,"['n', 'n', 'n', 'n']"
2,4,41,0,2,2,"['y', 'n', 'y', 'y']"
3,4,43,1,1,2,"['n', 'y', 'y', 'y']"
4,4,48,2,0,2,"['n', 'n', 'n', 'n']"
5,4,42,0,2,2,"['y', 'n', 'y', 'n']"
6,4,43,1,2,1,"['n', 'n', 'y', 'y']"
7,4,46,1,0,3,"['n', 'y', 'n', 'n']"
0,5,45,2,1,2,"['y', 'n', 'n', 'n', 'n']"
1,5,45,2,1,2,"['n', 'n', 'n', 'n', 'y']"
2,5,41,1,2,2,"['y', 'n', 'y', 'y', 'n']"
3,5,40,1,2,2,"['n', 'y', 'y', 'y', 'y']"
4,5,47,2,0,3,"['n', 'n', 'n', 'n', 'n']"
5,5,41,0,2,3,"['y', 'n', 'y', 'n', 'n']"
6,5,40,1,3,1,"['n', 'n', 'y', 'y', 'y']"
7,5,46,2,0,3,"['n', 'y', 'n', 'n', 'n']"
0,6,43,2,1,3,"['y', 'n', 'n', 'n', 'n', 'y']"
1,6,42,2,2,2,"['n', 'n', 'n', 'n', 'y', 'y']"
2,6,39,1,2,3,"['y', 'n', 'y', 'y', 'n', 'y']"
3,6,40,2,2,2,"['n', 'y', 'y', 'y', 'y', 'n']"
4,6,46,2,0,4,"['n', 'n', 'n', 'n', 'n', 'n']"
5,6,38,0,3,3,"['y', 'n', 'y', 'n', 'n', 'y']"
6,6,40,2,3,1,"['n', 'n', 'y', 'y', 'y', 'n']"
7,6,45,2,0,4,"['n', 'y', 'n', 'n', 'n', 'n']"
0,7,41,2,1,4,"['y', 'n', 'n', 'n', 'n', 'y', 'y']"
1,7,40,2,2,3,"['n', 'n', 'n', 'n', 'y', 'y', 'y']"
2,7,39,2,2,3,"['y', 'n', 'y', 'y', 'n', 'y', 'n']"
3,7,38,2,2,3,"['n', 'y', 'y', 'y', 'y', 'n', 'y']"
4,7,43,2,1,4,"['n', 'n', 'n', 'n', 'n', 'n', 'y']"
5,7,36,0,3,4,"['y', 'n', 'y', 'n', 'n', 'y', 'y']"
6,7,38,2,3,2,"['n', 'n', 'y', 'y', 'y', 'n', 'y']"
7,7,43,2,0,5,"['n', 'y', 'n', 'n', 'n', 'n', 'y']"
0,8,38,2,2,4,"['y', 'n', 'n', 'n', 'n', 'y', 'y', 'y']"
1,8,40,3,2,3,"['n', 'n', 'n', 'n', 'y', 'y', 'y', 'n']"
2,8,38,2,2,4,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'n']"
3,8,37,2,2,4,"['n', 'y', 'y', 'y', 'y', 'n', 'y', 'n']"
4,8,42,2,1,5,"['n', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
5,8,35,0,3,5,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n']"
6,8,37,2,3,3,"['n', 'n', 'y', 'y', 'y', 'n', 'y', 'n']"
7,8,42,2,0,6,"['n', 'y', 'n', 'n', 'n', 'n', 'y', 'n']"
0,9,37,2,2,5,"['y', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n']"
1,9,37,3,3,3,"['n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'y']"
2,9,38,3,2,4,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'n', 'n']"
3,9,35,2,2,5,"['n', 'y', 'y', 'y', 'y', 'n', 'y', 'n', 'y']"
4,9,41,2,1,6,"['n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
5,9,34,0,3,6,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'n']"
6,9,36,2,3,4,"['n', 'n', 'y', 'y', 'y', 'n', 'y', 'n', 'n']"
7,9,40,2,0,7,"['n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
0,10,36,2,2,6,"['y', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'n']"
1,10,36,3,3,4,"['n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'y', 'n']"
2,10,37,3,2,5,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'n', 'n', 'n']"
3,10,34,2,2,6,"['n', 'y', 'y', 'y', 'y', 'n', 'y', 'n', 'y', 'n']"
4,10,38,2,2,6,"['n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
5,10,33,0,3,7,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'n', 'n']"
