id,turn,money,won,loss,ties,res
3,11,32,2,4,5,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
4,11,38,2,1,8,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n']"
5,11,38,2,1,8,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
6,11,35,2,2,7,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
7,11,34,3,4,4,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n']"
0,12,33,3,3,6,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n']"
1,12,38,3,0,9,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
2,12,30,2,3,7,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
3,12,32,3,4,5,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n']"
4,12,35,2,2,8,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
5,12,35,2,2,8,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
6,12,34,2,2,8,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
7,12,33,3,4,5,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
0,13,31,3,3,7,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y']"
1,13,36,3,0,10,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
2,13,29,2,3,8,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n']"
3,13,29,3,5,5,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y']"
4,13,33,2,2,9,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y']"
5,13,33,2,2,9,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y']"
6,13,33,2,2,9,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
7,13,33,4,4,5,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n']"
0,14,30,3,3,8,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n']"
1,14,34,3,0,11,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y']"
2,14,28,2,3,9,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n']"
3,14,28,3,5,6,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n']"
4,14,32,2,2,10,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n']"
5,14,31,2,2,10,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y']"
6,14,32,2,2,10,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
7,14,32,4,4,6,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
0,15,28,3,3,9,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y']"
1,15,32,3,0,12,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y']"
2,15,26,2,3,10,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y']"
3,15,26,3,5,7,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
4,15,31,2,2,11,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n']"
5,15,30,2,2,11,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n']"
6,15,30,2,2,11,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
7,15,30,4,4,7,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
0,16,28,4,3,9,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n']"
1,16,31,3,0,13,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y', 'n']"
2,16,25,2,3,11,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
3,16,23,3,6,7,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y']"
4,16,30,2,2,12,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n']"
5,16,28,2,2,12,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n', 'y']"
6,16,28,2,2,12,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y']"
7,16,29,4,4,8,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
0,17,26,4,3,10,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y']"
1,17,31,4,0,13,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'y', 'n', 'n']"
2,17,23,2,3,12,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y']"
3,17,23,4,6,7,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'n']"
4,17,27,2,3,12,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'y']"
5,17,28,3,2,12,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n', 'y', 'n']"
6,17,25,2,3,12,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y']"
