id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,50,1,0,0,['n']
1,1,50,1,0,0,['n']
2,1,49,0,0,1,['n']
3,1,49,0,0,1,['n']
4,1,47,0,1,0,['y']
5,1,47,0,1,0,['y']
6,1,47,0,1,0,['y']
7,1,50,1,0,0,['n']
0,2,50,2,0,0,"['n', 'n']"
1,2,47,1,1,0,"['n', 'y']"
2,2,46,0,1,1,"['n', 'y']"
3,2,46,0,1,1,"['n', 'y']"
4,2,44,0,2,0,"['y', 'y']"
5,2,47,1,1,0,"['y', 'n']"
6,2,47,1,1,0,"['y', 'n']"
7,2,50,2,0,0,"['n', 'n']"
0,3,47,2,1,0,"['n', 'n', 'y']"
1,3,45,1,1,1,"['n', 'y', 'y']"
2,3,44,0,1,2,"['n', 'y', 'y']"
3,3,46,1,1,1,"['n', 'y', 'n']"
4,3,42,0,2,1,"['y', 'y', 'y']"
5,3,45,1,1,1,"['y', 'n', 'y']"
6,3,44,1,2,0,"['y', 'n', 'y']"
7,3,50,3,0,0,"['n', 'n', 'n']"
0,4,44,2,2,0,"['n', 'n', 'y', 'y']"
1,4,42,1,2,1,"['n', 'y', 'y', 'y']"
2,4,43,0,1,3,"['n', 'y', 'y', 'n']"
3,4,46,2,1,1,"['n', 'y', 'n', 'n']"
4,4,42,1,2,1,"['y', 'y', 'y', 'n']"
5,4,45,2,1,1,"['y', 'n', 'y', 'n']"
6,4,43,1,2,1,"['y', 'n', 'y', 'n']"
7,4,47,3,1,0,"['n', 'n', 'n', 'y']"
0,5,41,2,3,0,"['n', 'n', 'y', 'y', 'y']"
1,5,42,2,2,1,"['n', 'y', 'y', 'y', 'n']"
2,5,42,0,1,4,"['n', 'y', 'y', 'n', 'n']"
3,5,44,2,1,2,"['n', 'y', 'n', 'n', 'y']"
4,5,41,1,2,2,"['y', 'y', 'y', 'n', 'n']"
5,5,45,3,1,1,"['y', 'n', 'y', 'n', 'n']"
6,5,40,1,3,1,"['y', 'n', 'y', 'n', 'y']"
7,5,45,3,1,1,"['n', 'n', 'n', 'y', 'y']"
0,6,38,2,4,0,"['n', 'n', 'y', 'y', 'y', 'y']"
1,6,41,2,2,2,"['n', 'y', 'y', 'y', 'n', 'n']"
2,6,41,0,1,5,"['n', 'y', 'y', 'n', 'n', 'n']"
3,6,41,2,2,2,"['n', 'y', 'n', 'n', 'y', 'y']"
4,6,41,2,2,2,"['y', 'y', 'y', 'n', 'n', 'n']"
5,6,42,3,2,1,"['y', 'n', 'y', 'n', 'n', 'y']"
6,6,40,2,3,1,"['y', 'n', 'y', 'n', 'y', 'n']"
7,6,45,4,1,1,"['n', 'n', 'n', 'y', 'y', 'n']"
0,7,37,2,4,1,"['n', 'n', 'y', 'y', 'y', 'y', 'n']"
1,7,40,2,2,3,"['n', 'y', 'y', 'y', 'n', 'n', 'n']"
2,7,39,0,1,6,"['n', 'y', 'y', 'n', 'n', 'n', 'y']"
3,7,40,2,2,3,"['n', 'y', 'n', 'n', 'y', 'y', 'n']"
4,7,40,2,2,3,"['y', 'y', 'y', 'n', 'n', 'n', 'n']"
5,7,39,3,3,1,"['y', 'n', 'y', 'n', 'n', 'y', 'y']"
6,7,38,2,3,2,"['y', 'n', 'y', 'n', 'y', 'n', 'y']"
7,7,45,5,1,1,"['n', 'n', 'n', 'y', 'y', 'n', 'n']"
0,8,36,2,4,2,"['n', 'n', 'y', 'y', 'y', 'y', 'n', 'n']"
1,8,39,2,2,4,"['n', 'y', 'y', 'y', 'n', 'n', 'n', 'n']"
2,8,38,0,1,7,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n']"
3,8,39,2,2,4,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'n']"
4,8,39,2,2,4,"['y', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
5,8,38,3,3,2,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n']"
6,8,37,2,3,3,"['y', 'n', 'y', 'n', 'y', 'n', 'y', 'n']"
7,8,44,5,1,2,"['n', 'n', 'n', 'y', 'y', 'n', 'n', 'n']"
0,9,33,2,5,2,"['n', 'n', 'y', 'y', 'y', 'y', 'n', 'n', 'y']"
1,9,39,3,2,4,"['n', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
2,9,38,1,1,7,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
3,9,38,2,2,5,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'n', 'n']"
4,9,36,2,3,4,"['y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
5,9,35,3,4,2,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y']"
6,9,37,3,3,3,"['y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n']"
7,9,43,5,1,3,"['n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'n']"
0,10,32,2,5,3,"['n', 'n', 'y', 'y', 'y', 'y', 'n', 'n', 'y', 'n']"
1,10,36,3,3,4,"['n', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
2,10,37,1,1,8,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n']"
3,10,37,2,2,6,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'n']"
4,10,36,3,3,4,"['y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
5,10,35,4,4,2,"['y', 'n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n']"
