id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,49,0,0,1,['n']
1,1,49,0,0,1,['n']
2,1,49,0,0,1,['n']
3,1,48,0,0,1,['y']
4,1,49,0,0,1,['n']
5,1,49,0,0,1,['n']
6,1,49,0,0,1,['n']
7,1,48,0,0,1,['y']
0,2,47,0,0,2,"['n', 'y']"
1,2,47,0,0,2,"['n', 'y']"
2,2,47,0,0,2,"['n', 'y']"
3,2,45,0,1,1,"['y', 'y']"
4,2,47,0,0,2,"['n', 'y']"
5,2,47,0,0,2,"['n', 'y']"
6,2,47,0,0,2,"['n', 'y']"
7,2,48,1,0,1,"['y', 'n']"
0,3,44,0,1,2,"['n', 'y', 'y']"
1,3,47,1,0,2,"['n', 'y', 'n']"
2,3,44,0,1,2,"['n', 'y', 'y']"
3,3,45,1,1,1,"['y', 'y', 'n']"
4,3,47,1,0,2,"['n', 'y', 'n']"
5,3,46,0,0,3,"['n', 'y', 'n']"
6,3,46,0,0,3,"['n', 'y', 'n']"
7,3,45,1,1,1,"['y', 'n', 'y']"
0,4,43,0,1,3,"['n', 'y', 'y', 'n']"
1,4,45,1,0,3,"['n', 'y', 'n', 'y']"
2,4,43,0,1,3,"['n', 'y', 'y', 'n']"
3,4,43,1,1,2,"['y', 'y', 'n', 'y']"
4,4,44,1,1,2,"['n', 'y', 'n', 'y']"
5,4,43,0,1,3,"['n', 'y', 'n', 'y']"
6,4,46,1,0,3,"['n', 'y', 'n', 'n']"
7,4,45,2,1,1,"['y', 'n', 'y', 'n']"
0,5,42,0,1,4,"['n', 'y', 'y', 'n', 'n']"
1,5,44,1,0,4,"['n', 'y', 'n', 'y', 'n']"
2,5,40,0,2,3,"['n', 'y', 'y', 'n', 'y']"
3,5,42,1,1,3,"['y', 'y', 'n', 'y', 'n']"
4,5,44,2,1,2,"['n', 'y', 'n', 'y', 'n']"
5,5,41,0,1,4,"['n', 'y', 'n', 'y', 'y']"
6,5,45,1,0,4,"['n', 'y', 'n', 'n', 'n']"
7,5,43,2,1,2,"['y', 'n', 'y', 'n', 'y']"
0,6,42,1,1,4,"['n', 'y', 'y', 'n', 'n', 'n']"
1,6,41,1,1,4,"['n', 'y', 'n', 'y', 'n', 'y']"
2,6,37,0,3,3,"['n', 'y', 'y', 'n', 'y', 'y']"
3,6,42,2,1,3,"['y', 'y', 'n', 'y', 'n', 'n']"
4,6,44,3,1,2,"['n', 'y', 'n', 'y', 'n', 'n']"
5,6,40,0,1,5,"['n', 'y', 'n', 'y', 'y', 'n']"
6,6,44,1,0,5,"['n', 'y', 'n', 'n', 'n', 'n']"
7,6,40,2,2,2,"['y', 'n', 'y', 'n', 'y', 'y']"
0,7,41,1,1,5,"['n', 'y', 'y', 'n', 'n', 'n', 'n']"
1,7,40,1,1,5,"['n', 'y', 'n', 'y', 'n', 'y', 'n']"
2,7,36,0,3,4,"['n', 'y', 'y', 'n', 'y', 'y', 'n']"
3,7,42,3,1,3,"['y', 'y', 'n', 'y', 'n', 'n', 'n']"
4,7,43,3,1,3,"['n', 'y', 'n', 'y', 'n', 'n', 'n']"
5,7,37,0,2,5,"['n', 'y', 'n', 'y', 'y', 'n', 'y']"
6,7,43,1,0,6,"['n', 'y', 'n', 'n', 'n', 'n', 'n']"
7,7,39,2,2,3,"['y', 'n', 'y', 'n', 'y', 'y', 'n']"
0,8,38,1,2,5,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'y']"
1,8,37,1,2,5,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'y']"
2,8,36,1,3,4,"['n', 'y', 'y', 'n', 'y', 'y', 'n', 'n']"
3,8,39,3,2,3,"['y', 'y', 'n', 'y', 'n', 'n', 'n', 'y']"
4,8,41,3,1,4,"['n', 'y', 'n', 'y', 'n', 'n', 'n', 'y']"
5,8,37,1,2,5,"['n', 'y', 'n', 'y', 'y', 'n', 'y', 'n']"
6,8,41,1,0,7,"['n', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
7,8,39,3,2,3,"['y', 'n', 'y', 'n', 'y', 'y', 'n', 'n']"
0,9,37,1,2,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n']"
1,9,36,1,2,6,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n']"
2,9,35,1,3,5,"['n', 'y', 'y', 'n', 'y', 'y', 'n', 'n', 'n']"
3,9,36,3,3,3,"['y', 'y', 'n', 'y', 'n', 'n', 'n', 'y', 'y']"
4,9,41,4,1,4,"['n', 'y', 'n', 'y', 'n', 'n', 'n', 'y', 'n']"
5,9,36,1,2,6,"['n', 'y', 'n', 'y', 'y', 'n', 'y', 'n', 'n']"
6,9,40,1,0,8,"['n', 'y', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
7,9,38,3,2,4,"['y', 'n', 'y', 'n', 'y', 'y', 'n', 'n', 'n']"
0,10,36,1,2,7,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
1,10,35,1,2,7,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n']"
2,10,33,1,3,6,"['n', 'y', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'y']"
3,10,35,3,3,4,"['y', 'y', 'n', 'y', 'n', 'n', 'n', 'y', 'y', 'n']"
4,10,40,4,1,5,"['n', 'y', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
5,10,34,1,2,7,"['n', 'y', 'n', 'y', 'y', 'n', 'y', 'n', 'n', 'y']"
