id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,49,0,0,1,['n']
1,1,49,0,0,1,['n']
2,1,50,1,0,0,['n']
3,1,49,0,0,1,['n']
4,1,47,0,1,0,['y']
5,1,50,1,0,0,['n']
6,1,49,0,0,1,['n']
7,1,47,0,1,0,['y']
0,2,47,0,0,2,"['n', 'y']"
1,2,49,1,0,1,"['n', 'n']"
2,2,48,1,0,1,"['n', 'y']"
3,2,48,0,0,2,"['n', 'n']"
4,2,45,0,1,1,"['y', 'y']"
5,2,47,1,1,0,"['n', 'y']"
6,2,47,0,0,2,"['n', 'y']"
7,2,46,0,1,1,"['y', 'n']"
0,3,44,0,1,2,"['n', 'y', 'y']"
1,3,46,1,1,1,"['n', 'n', 'y']"
2,3,48,2,0,1,"['n', 'y', 'n']"
3,3,45,0,1,2,"['n', 'n', 'y']"
4,3,45,1,1,1,"['y', 'y', 'n']"
5,3,47,2,1,0,"['n', 'y', 'n']"
6,3,46,0,0,3,"['n', 'y', 'n']"
7,3,45,0,1,2,"['y', 'n', 'n']"
0,4,44,1,1,2,"['n', 'y', 'y', 'n']"
1,4,43,1,2,1,"['n', 'n', 'y', 'y']"
2,4,47,2,0,2,"['n', 'y', 'n', 'n']"
3,4,45,1,1,2,"['n', 'n', 'y', 'n']"
4,4,43,1,1,2,"['y', 'y', 'n', 'y']"
5,4,46,2,1,1,"['n', 'y', 'n', 'n']"
6,4,43,0,1,3,"['n', 'y', 'n', 'y']"
7,4,43,0,1,3,"['y', 'n', 'n', 'y']"
0,5,43,1,1,3,"['n', 'y', 'y', 'n', 'n']"
1,5,43,2,2,1,"['n', 'n', 'y', 'y', 'n']"
2,5,46,2,0,3,"['n', 'y', 'n', 'n', 'n']"
3,5,45,2,1,2,"['n', 'n', 'y', 'n', 'n']"
4,5,40,1,2,2,"['y', 'y', 'n', 'y', 'y']"
5,5,43,2,2,1,"['n', 'y', 'n', 'n', 'y']"
6,5,42,0,1,4,"['n', 'y', 'n', 'y', 'n']"
7,5,42,0,1,4,"['y', 'n', 'n', 'y', 'n']"
0,6,43,2,1,3,"['n', 'y', 'y', 'n', 'n', 'n']"
1,6,40,2,3,1,"['n', 'n', 'y', 'y', 'n', 'y']"
2,6,45,2,0,4,"['n', 'y', 'n', 'n', 'n', 'n']"
3,6,45,3,1,2,"['n', 'n', 'y', 'n', 'n', 'n']"
4,6,37,1,3,2,"['y', 'y', 'n', 'y', 'y', 'y']"
5,6,40,2,3,1,"['n', 'y', 'n', 'n', 'y', 'y']"
6,6,42,1,1,4,"['n', 'y', 'n', 'y', 'n', 'n']"
7,6,41,0,1,5,"['y', 'n', 'n', 'y', 'n', 'n']"
0,7,41,2,1,4,"['n', 'y', 'y', 'n', 'n', 'n', 'y']"
1,7,38,2,3,2,"['n', 'n', 'y', 'y', 'n', 'y', 'y']"
2,7,43,2,0,5,"['n', 'y', 'n', 'n', 'n', 'n', 'y']"
3,7,43,3,1,3,"['n', 'n', 'y', 'n', 'n', 'n', 'y']"
4,7,36,1,3,3,"['y', 'y', 'n', 'y', 'y', 'y', 'n']"
5,7,39,2,3,2,"['n', 'y', 'n', 'n', 'y', 'y', 'n']"
6,7,39,1,2,4,"['n', 'y', 'n', 'y', 'n', 'n', 'y']"
7,7,41,1,1,5,"['y', 'n', 'n', 'y', 'n', 'n', 'n']"
0,8,40,2,1,5,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n']"
1,8,38,3,3,2,"['n', 'n', 'y', 'y', 'n', 'y', 'y', 'n']"
2,8,42,2,0,6,"['n', 'y', 'n', 'n', 'n', 'n', 'y', 'n']"
3,8,42,3,1,4,"['n', 'n', 'y', 'n', 'n', 'n', 'y', 'n']"
4,8,35,1,3,4,"['y', 'y', 'n', 'y', 'y', 'y', 'n', 'n']"
5,8,36,2,4,2,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'y']"
6,8,38,1,2,5,"['n', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
7,8,40,1,1,6,"['y', 'n', 'n', 'y', 'n', 'n', 'n', 'n']"
0,9,39,2,1,6,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
1,9,37,3,3,3,"['n', 'n', 'y', 'y', 'n', 'y', 'y', 'n', 'n']"
2,9,41,2,0,7,"['n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
3,9,41,3,1,5,"['n', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
4,9,34,1,3,5,"['y', 'y', 'n', 'y', 'y', 'y', 'n', 'n', 'n']"
5,9,35,2,4,3,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n']"
6,9,37,1,2,6,"['n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
7,9,39,1,1,7,"['y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'n']"
0,10,39,3,1,6,"['n', 'y', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n']"
1,10,34,3,4,3,"['n', 'n', 'y', 'y', 'n', 'y', 'y', 'n', 'n', 'y']"
2,10,39,2,0,8,"['n', 'y', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
3,10,39,3,1,6,"['n', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
4,10,32,1,3,6,"['y', 'y', 'n', 'y', 'y', 'y', 'n', 'n', 'n', 'y']"
5,10,32,2,5,3,"['n', 'y', 'n', 'n', 'y', 'y', 'n', 'y', 'n', 'y']"
