id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,47,0,1,0,['y']
1,1,49,0,0,1,['n']
2,1,50,1,0,0,['n']
3,1,47,0,1,0,['y']
4,1,49,0,0,1,['n']
5,1,50,1,0,0,['n']
6,1,49,0,0,1,['n']
7,1,49,0,0,1,['n']
0,2,47,1,1,0,"['y', 'n']"
1,2,46,0,1,1,"['n', 'y']"
2,2,49,1,0,1,"['n', 'n']"
3,2,46,0,1,1,"['y', 'n']"
4,2,48,0,0,2,"['n', 'n']"
5,2,48,1,0,1,"['n', 'y']"
6,2,47,0,0,2,"['n', 'y']"
7,2,48,0,0,2,"['n', 'n']"
0,3,44,1,2,0,"['y', 'n', 'y']"
1,3,45,0,1,2,"['n', 'y', 'n']"
2,3,47,1,0,2,"['n', 'n', 'y']"
3,3,45,0,1,2,"['y', 'n', 'n']"
4,3,47,0,0,3,"['n', 'n', 'n']"
5,3,46,1,0,2,"['n', 'y', 'y']"
6,3,46,0,0,3,"['n', 'y', 'n']"
7,3,48,1,0,2,"['n', 'n', 'n']"
0,4,41,1,3,0,"['y', 'n', 'y', 'y']"
1,4,44,0,1,3,"['n', 'y', 'n', 'n']"
2,4,46,1,0,3,"['n', 'n', 'y', 'n']"
3,4,44,0,1,3,"['y', 'n', 'n', 'n']"
4,4,46,0,0,4,"['n', 'n', 'n', 'n']"
5,4,45,1,0,3,"['n', 'y', 'y', 'n']"
6,4,46,1,0,3,"['n', 'y', 'n', 'n']"
7,4,47,1,0,3,"['n', 'n', 'n', 'n']"
0,5,40,1,3,1,"['y', 'n', 'y', 'y', 'n']"
1,5,41,0,2,3,"['n', 'y', 'n', 'n', 'y']"
2,5,44,1,0,4,"['n', 'n', 'y', 'n', 'y']"
3,5,41,0,2,3,"['y', 'n', 'n', 'n', 'y']"
4,5,46,1,0,4,"['n', 'n', 'n', 'n', 'n']"
5,5,45,2,0,3,"['n', 'y', 'y', 'n', 'n']"
6,5,44,1,0,4,"['n', 'y', 'n', 'n', 'y']"
7,5,46,1,0,4,"['n', 'n', 'n', 'n', 'n']"
0,6,37,1,4,1,"['y', 'n', 'y', 'y', 'n', 'y']"
1,6,40,0,2,4,"['n', 'y', 'n', 'n', 'y', 'n']"
2,6,44,2,0,4,"['n', 'n', 'y', 'n', 'y', 'n']"
3,6,38,0,3,3,"['y', 'n', 'n', 'n', 'y', 'y']"
4,6,45,1,0,5,"['n', 'n', 'n', 'n', 'n', 'n']"
5,6,44,2,0,4,"['n', 'y', 'y', 'n', 'n', 'n']"
6,6,44,2,0,4,"['n', 'y', 'n', 'n', 'y', 'n']"
7,6,45,1,0,5,"['n', 'n', 'n', 'n', 'n', 'n']"
0,7,36,1,4,2,"['y', 'n', 'y', 'y', 'n', 'y', 'n']"
1,7,39,0,2,5,"['n', 'y', 'n', 'n', 'y', 'n', 'n']"
2,7,43,2,0,5,"['n', 'n', 'y', 'n', 'y', 'n', 'n']"
3,7,37,0,3,4,"['y', 'n', 'n', 'n', 'y', 'y', 'n']"
4,7,45,2,0,5,"['n', 'n', 'n', 'n', 'n', 'n', 'n']"
5,7,43,2,0,5,"['n', 'y', 'y', 'n', 'n', 'n', 'n']"
6,7,43,2,0,5,"['n', 'y', 'n', 'n', 'y', 'n', 'n']"
7,7,42,1,1,5,"['n', 'n', 'n', 'n', 'n', 'n', 'y']"
0,8,34,1,4,3,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'y']"
1,8,36,0,3,5,"['n', 'y', 'n', 'n', 'y', 'n', 'n', 'y']"
2,8,43,3,0,5,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n']"
3,8,36,0,3,5,"['y', 'n', 'n', 'n', 'y', 'y', 'n', 'n']"
4,8,43,2,0,6,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
5,8,42,2,0,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
6,8,42,2,0,6,"['n', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
7,8,41,1,1,6,"['n', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
0,9,33,1,4,4,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n']"
1,9,35,0,3,6,"['n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n']"
2,9,40,3,1,5,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'y']"
3,9,35,0,3,6,"['y', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n']"
4,9,42,2,0,7,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
5,9,42,3,0,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n']"
6,9,41,2,0,7,"['n', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n']"
7,9,40,1,1,7,"['n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
0,10,31,1,4,5,"['y', 'n', 'y', 'y', 'n', 'y', 'n', 'y', 'n', 'y']"
1,10,35,1,3,6,"['n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
2,10,37,3,2,5,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'y', 'y']"
3,10,35,1,3,6,"['y', 'n', 'n', 'n', 'y', 'y', 'n', 'n', 'n', 'n']"
4,10,41,2,0,8,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
5,10,39,3,1,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
