id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,49,0,0,1,['n']
1,1,47,0,1,0,['y']
2,1,50,1,0,0,['n']
3,1,50,1,0,0,['n']
4,1,49,0,0,1,['n']
5,1,47,0,1,0,['y']
6,1,49,0,0,1,['n']
7,1,49,0,0,1,['n']
0,2,47,0,0,2,"['n', 'y']"
1,2,45,0,1,1,"['y', 'y']"
2,2,48,1,0,1,"['n', 'y']"
3,2,49,1,0,1,"['n', 'n']"
4,2,47,0,0,2,"['n', 'y']"
5,2,46,0,1,1,"['y', 'n']"
6,2,47,0,0,2,"['n', 'y']"
7,2,47,0,0,2,"['n', 'y']"
0,3,47,1,0,2,"['n', 'y', 'n']"
1,3,44,0,1,2,"['y', 'y', 'n']"
2,3,47,1,0,2,"['n', 'y', 'n']"
3,3,49,2,0,1,"['n', 'n', 'n']"
4,3,44,0,1,2,"['n', 'y', 'y']"
5,3,45,0,1,2,"['y', 'n', 'n']"
6,3,46,0,0,3,"['n', 'y', 'n']"
7,3,44,0,1,2,"['n', 'y', 'y']"
0,4,46,1,0,3,"['n', 'y', 'n', 'n']"
1,4,43,0,1,3,"['y', 'y', 'n', 'n']"
2,4,46,1,0,3,"['n', 'y', 'n', 'n']"
3,4,47,2,0,2,"['n', 'n', 'n', 'y']"
4,4,44,1,1,2,"['n', 'y', 'y', 'n']"
5,4,43,0,1,3,"['y', 'n', 'n', 'y']"
6,4,43,0,1,3,"['n', 'y', 'n', 'y']"
7,4,43,0,1,3,"['n', 'y', 'y', 'n']"
0,5,46,2,0,3,"['n', 'y', 'n', 'n', 'n']"
1,5,40,0,2,3,"['y', 'y', 'n', 'n', 'y']"
2,5,43,1,1,3,"['n', 'y', 'n', 'n', 'y']"
3,5,46,2,0,3,"['n', 'n', 'n', 'y', 'n']"
4,5,44,2,1,2,"['n', 'y', 'y', 'n', 'n']"
5,5,43,1,1,3,"['y', 'n', 'n', 'y', 'n']"
6,5,40,0,2,3,"['n', 'y', 'n', 'y', 'y']"
7,5,42,0,1,4,"['n', 'y', 'y', 'n', 'n']"
0,6,45,2,0,4,"['n', 'y', 'n', 'n', 'n', 'n']"
1,6,39,0,2,4,"['y', 'y', 'n', 'n', 'y', 'n']"
2,6,43,2,1,3,"['n', 'y', 'n', 'n', 'y', 'n']"
3,6,45,2,0,4,"['n', 'n', 'n', 'y', 'n', 'n']"
4,6,41,2,2,2,"['n', 'y', 'y', 'n', 'n', 'y']"
5,6,40,1,2,3,"['y', 'n', 'n', 'y', 'n', 'y']"
6,6,39,0,2,4,"['n', 'y', 'n', 'y', 'y', 'n']"
7,6,42,1,1,4,"['n', 'y', 'y', 'n', 'n', 'n']"
0,7,45,3,0,4,"['n', 'y', 'n', 'n', 'n', 'n', 'n']"
1,7,36,0,3,4,"['y', 'y', 'n', 'n', 'y', 'n', 'y']"
2,7,40,2,2,3,"['n', 'y', 'n', 'n', 'y', 'n', 'y']"
3,7,42,2,1,4,"['n', 'n', 'n', 'y', 'n', 'n', 'y']"
4,7,40,2,2,3,"['n', 'y', 'y', 'n', 'n', 'y', 'n']"
5,7,39,1,2,4,"['y', 'n', 'n', 'y', 'n', 'y', 'n']"
6,7,39,1,2,4,"['n', 'y', 'n', 'y', 'y', 'n', 'n']"
7,7,42,2,1,4,"['n', 'y', 'y', 'n', 'n', 'n', 'n']"
0,8,42,3,1,4,"['n', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
1,8,36,1,3,4,"['y', 'y', 'n', 'n', 'y', 'n', 'y', 'n']"
2,8,39,2,2,4,"['n', 'y', 'n', 'n', 'y', 'n', 'y', 'n']"
3,8,42,3,1,4,"['n', 'n', 'n', 'y', 'n', 'n', 'y', 'n']"
4,8,37,2,3,3,"['n', 'y', 'y', 'n', 'n', 'y', 'n', 'y']"
5,8,36,1,3,4,"['y', 'n', 'n', 'y', 'n', 'y', 'n', 'y']"
6,8,39,2,2,4,"['n', 'y', 'n', 'y', 'y', 'n', 'n', 'n']"
7,8,41,2,1,5,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
0,9,42,4,1,4,"['n', 'y', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
1,9,36,2,3,4,"['y', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'n']"
2,9,36,2,3,4,"['n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'y']"
3,9,42,4,1,4,"['n', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
4,9,34,2,4,3,"['n', 'y', 'y', 'n', 'n', 'y', 'n', 'y', 'y']"
5,9,36,2,3,4,"['y', 'n', 'n', 'y', 'n', 'y', 'n', 'y', 'n']"
6,9,36,2,3,4,"['n', 'y', 'n', 'y', 'y', 'n', 'n', 'n', 'y']"
7,9,38,2,2,5,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
0,10,39,4,2,4,"['n', 'y', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
1,10,35,2,3,5,"['y', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'n', 'n']"
2,10,34,2,3,5,"['n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'y', 'y']"
3,10,41,4,1,5,"['n', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
4,10,32,2,4,4,"['n', 'y', 'y', 'n', 'n', 'y', 'n', 'y', 'y', 'y']"
5,10,36,3,3,4,"['y', 'n', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n']"
