id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,48,0,0,1,['y']
1,1,48,0,0,1,['y']
2,1,47,0,1,0,['y']
3,1,50,1,0,0,['n']
4,1,48,0,0,1,['y']
5,1,50,1,0,0,['n']
6,1,48,0,0,1,['y']
7,1,47,0,1,0,['y']
0,2,47,0,0,2,"['y', 'n']"
1,2,48,1,0,1,"['y', 'n']"
2,2,46,0,1,1,"['y', 'n']"
3,2,47,1,1,0,"['n', 'y']"
4,2,45,0,1,1,"['y', 'y']"
5,2,49,1,0,1,"['n', 'n']"
6,2,47,0,0,2,"['y', 'n']"
7,2,47,1,1,0,"['y', 'n']"
0,3,46,0,0,3,"['y', 'n', 'n']"
1,3,47,1,0,2,"['y', 'n', 'n']"
2,3,45,0,1,2,"['y', 'n', 'n']"
3,3,46,1,1,1,"['n', 'y', 'n']"
4,3,44,0,1,2,"['y', 'y', 'n']"
5,3,46,1,1,1,"['n', 'n', 'y']"
6,3,46,0,0,3,"['y', 'n', 'n']"
7,3,47,2,1,0,"['y', 'n', 'n']"
0,4,45,0,0,4,"['y', 'n', 'n', 'n']"
1,4,47,2,0,2,"['y', 'n', 'n', 'n']"
2,4,42,0,2,2,"['y', 'n', 'n', 'y']"
3,4,44,1,1,2,"['n', 'y', 'n', 'y']"
4,4,43,0,1,3,"['y', 'y', 'n', 'n']"
5,4,44,1,1,2,"['n', 'n', 'y', 'y']"
6,4,45,0,0,4,"['y', 'n', 'n', 'n']"
7,4,46,2,1,1,"['y', 'n', 'n', 'n']"
0,5,45,1,0,4,"['y', 'n', 'n', 'n', 'n']"
1,5,44,2,1,2,"['y', 'n', 'n', 'n', 'y']"
2,5,41,0,2,3,"['y', 'n', 'n', 'y', 'n']"
3,5,43,1,1,3,"['n', 'y', 'n', 'y', 'n']"
4,5,40,0,2,3,"['y', 'y', 'n', 'n', 'y']"
5,5,43,1,1,3,"['n', 'n', 'y', 'y', 'n']"
6,5,45,1,0,4,"['y', 'n', 'n', 'n', 'n']"
7,5,45,2,1,2,"['y', 'n', 'n', 'n', 'n']"
0,6,44,1,0,5,"['y', 'n', 'n', 'n', 'n', 'n']"
1,6,43,2,1,3,"['y', 'n', 'n', 'n', 'y', 'n']"
2,6,40,0,2,4,"['y', 'n', 'n', 'y', 'n', 'n']"
3,6,42,1,1,4,"['n', 'y', 'n', 'y', 'n', 'n']"
4,6,39,0,2,4,"['y', 'y', 'n', 'n', 'y', 'n']"
5,6,42,1,1,4,"['n', 'n', 'y', 'y', 'n', 'n']"
6,6,42,1,1,4,"['y', 'n', 'n', 'n', 'n', 'y']"
7,6,45,3,1,2,"['y', 'n', 'n', 'n', 'n', 'n']"
0,7,41,1,1,5,"['y', 'n', 'n', 'n', 'n', 'n', 'y']"
1,7,40,2,2,3,"['y', 'n', 'n', 'n', 'y', 'n', 'y']"
2,7,40,1,2,4,"['y', 'n', 'n', 'y', 'n', 'n', 'n']"
3,7,40,1,1,5,"['n', 'y', 'n', 'y', 'n', 'n', 'y']"
4,7,38,0,2,5,"['y', 'y', 'n', 'n', 'y', 'n', 'n']"
5,7,42,2,1,4,"['n', 'n', 'y', 'y', 'n', 'n', 'n']"
6,7,41,1,1,5,"['y', 'n', 'n', 'n', 'n', 'y', 'n']"
7,7,43,3,1,3,"['y', 'n', 'n', 'n', 'n', 'n', 'y']"
0,8,40,1,1,6,"['y', 'n', 'n', 'n', 'n', 'n', 'y', 'n']"
1,8,38,2,2,4,"['y', 'n', 'n', 'n', 'y', 'n', 'y', 'y']"
2,8,38,1,2,5,"['y', 'n', 'n', 'y', 'n', 'n', 'n', 'y']"
3,8,40,2,1,5,"['n', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
4,8,37,0,2,6,"['y', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
5,8,41,2,1,5,"['n', 'n', 'y', 'y', 'n', 'n', 'n', 'n']"
6,8,40,1,1,6,"['y', 'n', 'n', 'n', 'n', 'y', 'n', 'n']"
7,8,40,3,2,3,"['y', 'n', 'n', 'n', 'n', 'n', 'y', 'y']"
0,9,37,1,2,6,"['y', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y']"
1,9,36,2,2,5,"['y', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y']"
2,9,38,2,2,5,"['y', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'n']"
3,9,38,2,1,6,"['n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y']"
4,9,37,1,2,6,"['y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n']"
5,9,40,2,1,6,"['n', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
6,9,39,1,1,7,"['y', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'n']"
7,9,37,3,3,3,"['y', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y']"
0,10,34,1,3,6,"['y', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'y', 'y']"
1,10,35,2,2,6,"['y', 'n', 'n', 'n', 'y', 'n', 'y', 'y', 'y', 'n']"
2,10,37,2,2,6,"['y', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
3,10,38,3,1,6,"['n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'y', 'n']"
4,10,35,1,2,7,"['y', 'y', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'y']"
5,10,38,2,1,7,"['n', 'n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y']"
