id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,47,0,1,0,['y']
1,1,49,0,0,1,['n']
2,1,50,1,0,0,['n']
3,1,47,0,1,0,['y']
4,1,49,0,0,1,['n']
5,1,49,0,0,1,['n']
6,1,50,1,0,0,['n']
7,1,49,0,0,1,['n']
0,2,44,0,2,0,"['y', 'y']"
1,2,49,1,0,1,"['n', 'n']"
2,2,50,2,0,0,"['n', 'n']"
3,2,46,0,1,1,"['y', 'n']"
4,2,48,0,0,2,"['n', 'n']"
5,2,46,0,1,1,"['n', 'y']"
6,2,49,1,0,1,"['n', 'n']"
7,2,48,0,0,2,"['n', 'n']"
0,3,43,0,2,1,"['y', 'y', 'n']"
1,3,48,1,0,2,"['n', 'n', 'n']"
2,3,49,2,0,1,"['n', 'n', 'n']"
3,3,45,0,1,2,"['y', 'n', 'n']"
4,3,47,0,0,3,"['n', 'n', 'n']"
5,3,45,0,1,2,"['n', 'y', 'n']"
6,3,47,1,0,2,"['n', 'n', 'y']"
7,3,46,0,0,3,"['n', 'n', 'y']"
0,4,42,0,2,2,"['y', 'y', 'n', 'n']"
1,4,47,1,0,3,"['n', 'n', 'n', 'n']"
2,4,46,2,1,1,"['n', 'n', 'n', 'y']"
3,4,45,1,1,2,"['y', 'n', 'n', 'n']"
4,4,46,0,0,4,"['n', 'n', 'n', 'n']"
5,4,42,0,2,2,"['n', 'y', 'n', 'y']"
6,4,46,1,0,3,"['n', 'n', 'y', 'n']"
7,4,46,1,0,3,"['n', 'n', 'y', 'n']"
0,5,39,0,3,2,"['y', 'y', 'n', 'n', 'y']"
1,5,47,2,0,3,"['n', 'n', 'n', 'n', 'n']"
2,5,44,2,1,2,"['n', 'n', 'n', 'y', 'y']"
3,5,43,1,1,3,"['y', 'n', 'n', 'n', 'y']"
4,5,43,0,1,4,"['n', 'n', 'n', 'n', 'y']"
5,5,42,1,2,2,"['n', 'y', 'n', 'y', 'n']"
6,5,45,1,0,4,"['n', 'n', 'y', 'n', 'n']"
7,5,45,1,0,4,"['n', 'n', 'y', 'n', 'n']"
0,6,36,0,4,2,"['y', 'y', 'n', 'n', 'y', 'y']"
1,6,46,2,0,4,"['n', 'n', 'n', 'n', 'n', 'n']"
2,6,42,2,1,3,"['n', 'n', 'n', 'y', 'y', 'y']"
3,6,43,2,1,3,"['y', 'n', 'n', 'n', 'y', 'n']"
4,6,42,0,1,5,"['n', 'n', 'n', 'n', 'y', 'n']"
5,6,39,1,3,2,"['n', 'y', 'n', 'y', 'n', 'y']"
6,6,45,2,0,4,"['n', 'n', 'y', 'n', 'n', 'n']"
7,6,43,1,0,5,"['n', 'n', 'y', 'n', 'n', 'y']"
0,7,36,1,4,2,"['y', 'y', 'n', 'n', 'y', 'y', 'n']"
1,7,45,2,0,5,"['n', 'n', 'n', 'n', 'n', 'n', 'n']"
2,7,41,2,1,4,"['n', 'n', 'n', 'y', 'y', 'y', 'n']"
3,7,42,2,1,4,"['y', 'n', 'n', 'n', 'y', 'n', 'n']"
4,7,41,0,1,6,"['n', 'n', 'n', 'n', 'y', 'n', 'n']"
5,7,38,1,3,3,"['n', 'y', 'n', 'y', 'n', 'y', 'n']"
6,7,42,2,1,4,"['n', 'n', 'y', 'n', 'n', 'n', 'y']"
7,7,42,1,0,6,"['n', 'n', 'y', 'n', 'n', 'y', 'n']"
0,8,35,1,4,3,"['y', 'y', 'n', 'n', 'y', 'y', 'n', 'n']"
1,8,44,2,0,6,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
2,8,40,2,1,5,"['n', 'n', 'n', 'y', 'y', 'y', 'n', 'n']"
3,8,42,3,1,4,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'n']"
4,8,38,0,2,6,"['n', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
5,8,37,1,3,4,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'n']"
6,8,41,2,1,5,"['n', 'n', 'y', 'n', 'n', 'n', 'y', 'n']"
7,8,41,1,0,7,"['n', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
0,9,32,1,5,3,"['y', 'y', 'n', 'n', 'y', 'y', 'n', 'n', 'y']"
1,9,44,3,0,6,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
2,9,37,2,2,5,"['n', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y']"
3,9,39,3,2,4,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y']"
4,9,38,1,2,6,"['n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'n']"
5,9,34,1,4,4,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'n', 'y']"
6,9,41,3,1,5,"['n', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n']"
7,9,41,2,0,7,"['n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'n']"
0,10,31,1,5,4,"['y', 'y', 'n', 'n', 'y', 'y', 'n', 'n', 'y', 'n']"
1,10,41,3,1,6,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
2,10,36,2,2,6,"['n', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n']"
3,10,38,3,2,5,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'n']"
4,10,38,2,2,6,"['n', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n']"
5,10,33,1,4,5,"['n', 'y', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n']"
